State,District,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Andhra Pradesh,Adilabad,1901,6.725,10.488,23.288,35.56,23.119,115.546,294.119,276.865,181.615,47.31,1.339,0
Andhra Pradesh,Adilabad,1902,0.42,0,0.388,6.07,3.331,45.96,233.973,167.971,198.177,26.447,35.083,11.222
Andhra Pradesh,Adilabad,1903,6.643,1.956,0.173,4.551,33.348,132.078,436.611,334.544,226.037,138.818,14.095,8.823
Andhra Pradesh,Adilabad,1904,0.054,0.121,11.446,0.017,16.9,131.048,160.694,81.865,251.577,110.391,0.146,0.13
Andhra Pradesh,Adilabad,1905,0.589,2.293,8.252,35.02,17.569,79.937,96.331,313.522,361.697,4.95,0.146,0
Andhra Pradesh,Adilabad,1906,4.369,1.967,9.703,0.326,2.983,221.619,279.633,189.606,132.764,11.557,23.836,6.166
Andhra Pradesh,Adilabad,1907,0.921,2.758,2.275,27.166,0.537,141.804,221.362,301.701,83.428,0.735,4.585,3.344
Andhra Pradesh,Adilabad,1908,2.478,5.536,3.84,3.644,8.194,100.301,271.8,333.651,364.372,0.715,0.146,0.036
Andhra Pradesh,Adilabad,1909,0.265,2.163,3.161,42.729,4.311,134.261,284.987,174.845,121.895,1.791,0.146,7.174
Andhra Pradesh,Adilabad,1910,0,0,0.03,1.242,24.84,215.868,212.288,225.417,383.598,74.995,62.588,0
Andhra Pradesh,Adilabad,1911,0.384,0,7.253,0.017,6.938,143.352,177.642,214.626,262.616,43.712,6.724,0
Andhra Pradesh,Adilabad,1912,0,12.757,0,13.483,14.118,51.225,298.71,249.526,131.69,12.518,22.549,0.117
Andhra Pradesh,Adilabad,1913,0,19.719,0.846,13.408,24.167,112.689,368.18,182.685,116.238,44.792,0.453,12.007
Andhra Pradesh,Adilabad,1914,0,4.698,4.942,47.843,24.261,193.232,237.031,185.763,324.722,16.477,8.043,7.134
Andhra Pradesh,Adilabad,1915,41.834,2.188,48.975,19.721,4.954,185.404,131.003,205.219,270.738,89.574,16.947,1.016
Andhra Pradesh,Adilabad,1916,0,6.18,0.06,2.811,8.093,191.954,227.998,256.432,243.942,152.958,36.694,0
Andhra Pradesh,Adilabad,1917,0,32.747,19.892,22.906,45.447,183.003,319.525,171.593,369.323,139.869,3.44,0
Andhra Pradesh,Adilabad,1918,3.998,0.005,7.339,4.528,94.681,117.787,151.87,118.046,71.556,0.82,9.123,43.868
Andhra Pradesh,Adilabad,1919,26.816,11.332,22.117,7.55,28.194,161.742,179.868,142.895,173.931,121.027,41.184,0.609
Andhra Pradesh,Adilabad,1920,6.281,0,0.783,17.305,3.292,87.071,200.438,103.513,113.904,1.027,0.146,0
Andhra Pradesh,Adilabad,1921,4.121,0,0.008,8.69,1.934,281.92,224.204,185.798,168.14,23.806,13.815,0
Andhra Pradesh,Adilabad,1922,45.089,0,0,3.586,19.864,151.306,244.373,142.394,299.532,18.813,46.791,0
Andhra Pradesh,Adilabad,1923,1.504,2.574,20.753,11.738,1.883,18.972,280.769,107.552,300.59,20.954,0.273,0
Andhra Pradesh,Adilabad,1924,11.734,0,6.627,15.17,13.41,50.836,186.069,134.703,291.16,73.425,96.302,9.017
Andhra Pradesh,Adilabad,1925,0,0,0.009,20.59,53.174,158.17,262.432,216.214,124,115.531,26.468,5.266
Andhra Pradesh,Adilabad,1926,64.109,0.031,7.718,34.832,34.919,32.301,246.902,291.163,102.592,40.007,4.273,0.017
Andhra Pradesh,Adilabad,1927,7.209,4.365,12.248,14.475,15.235,272.109,273.435,152.358,126.814,99.428,71.344,0.04
Andhra Pradesh,Adilabad,1928,0,15.321,18.783,3.026,13.832,158.677,201.322,150.456,318.178,77.654,0.146,4.54
Andhra Pradesh,Adilabad,1929,0.072,29.367,0.397,18.096,0.403,141.326,183.271,148.599,232.224,16.814,0.146,6.067
Andhra Pradesh,Adilabad,1930,0,4.848,1.292,37.817,1.115,174.529,196.278,141.689,269.764,80.337,32.937,2.51
Andhra Pradesh,Adilabad,1931,0.039,0.745,9.415,4.742,7.585,160.54,356.941,197.916,262.975,223.673,52.427,2.899
Andhra Pradesh,Adilabad,1932,0,8.597,0.938,15.301,21.728,152.684,306.64,262.734,176.154,24.269,24.091,0
Andhra Pradesh,Adilabad,1933,23.08,27.739,7.544,23.231,58.905,244.349,259.601,253.321,313.995,61.632,8.173,12.784
Andhra Pradesh,Adilabad,1934,1.348,0,0.544,21.239,1.729,145.671,340.106,277.805,180.526,12.227,36.639,0
Andhra Pradesh,Adilabad,1935,20.592,6.978,0,39.311,0.496,147.798,352.643,188.715,216.69,36.841,0.146,2.706
Andhra Pradesh,Adilabad,1936,5.049,25.387,24.7,8.544,52.729,297.428,238.066,221.634,176.615,148.467,61.234,3.12
Andhra Pradesh,Adilabad,1937,0,21.767,23.787,75.923,0.564,102.631,299.667,99.831,173.616,78.703,0.722,8.775
Andhra Pradesh,Adilabad,1938,0.005,7.692,5.907,7.962,23.231,279.243,284.226,269.23,337.67,70.011,0.385,0.005
Andhra Pradesh,Adilabad,1939,0.182,0,20.087,17.715,0.202,111.06,136.253,277.528,94.283,68.594,4.864,0.006
Andhra Pradesh,Adilabad,1940,0,4.512,2.201,18.503,22.136,161.208,420.688,271.208,78.532,65.819,29.321,6.228
Andhra Pradesh,Adilabad,1941,5.048,1.21,10.956,1.002,21.382,90.082,117.745,185.314,203.176,18.221,0.66,0
Andhra Pradesh,Adilabad,1942,0.033,20.877,0.293,19.369,9.756,137.136,312.272,384.901,90.167,5.928,0.616,11.622
Andhra Pradesh,Adilabad,1943,48.777,0,5.699,12.867,24.464,165.467,198.88,157.07,307.787,50.069,1.041,0
Andhra Pradesh,Adilabad,1944,0.501,18.268,33.652,7.336,3.498,117.195,352.667,195.721,220.017,78.375,35.133,0
Andhra Pradesh,Adilabad,1945,16.172,0,0,48.077,3.084,159.671,292.212,240.152,228.947,81.949,3.881,0.092
Andhra Pradesh,Adilabad,1946,0,14.333,5.264,17.376,13.008,173.48,356.478,200.76,87.365,15.807,46.545,2.322
Andhra Pradesh,Adilabad,1947,11.155,22.58,4.464,2.512,7.168,80.638,332.642,310.702,315.989,13.953,5.59,0.842
Andhra Pradesh,Adilabad,1948,1.75,1.793,6.254,6.487,12.583,113.181,267.339,193.011,301.25,39.837,92.693,0
Andhra Pradesh,Adilabad,1949,10.226,0.83,0.187,16.487,40.099,140.796,405.755,212.796,370.827,140.464,0.146,0
